{'emoticons': {'Love': 42, 'Like': 785, 'Wow': 185, 'Haha': 15, 'Sad': 100, 'Angry': 10}, 'feature_emotion': [u'0.115409', u'0.514421', u'0.48548', u'0.495981', u'0.071121']}
{'emoticons': {'Love': 1, 'Like': 207, 'Wow': 44, 'Haha': 228, 'Sad': 9, 'Angry': 8}, 'feature_emotion': [u'0.440882', u'0.140261', u'0.116908', u'0.342367', u'0.419838']}
{'emoticons': {'Love': 89, 'Like': 4387, 'Wow': 721, 'Haha': 320, 'Sad': 28, 'Angry': 61}, 'feature_emotion': [u'0.153611', u'0.168504', u'0.170037', u'0.489818', u'0.463802']}
{'emoticons': {'Love': 7, 'Like': 65, 'Wow': 1, 'Haha': 3, 'Sad': 0, 'Angry': 0}, 'feature_emotion': [u'0.119462', u'0.497761', u'0.136018', u'0.487172', u'0.092212']}
{'emoticons': {'Love': 5, 'Like': 203, 'Wow': 49, 'Haha': 15, 'Sad': 8, 'Angry': 170}, 'feature_emotion': [u'0.531338', u'0.162592', u'0.170289', u'0.527154', u'0.487504']}
{'emoticons': {'Love': 40, 'Like': 758, 'Wow': 23, 'Haha': 8, 'Sad': 126, 'Angry': 18}, 'feature_emotion': [u'0.165229', u'0.106083', u'0.424224', u'0.54063', u'0.431242']}
{'emoticons': {'Love': 6, 'Like': 554, 'Wow': 253, 'Haha': 55, 'Sad': 103, 'Angry': 646}, 'feature_emotion': [u'0.149256', u'0.235835', u'0.400746', u'0.469864', u'0.463258']}
{'emoticons': {'Love': 8, 'Like': 613, 'Wow': 111, 'Haha': 679, 'Sad': 22, 'Angry': 32}, 'feature_emotion': [u'0.440882', u'0.140261', u'0.116908', u'0.342367', u'0.419838']}
{'emoticons': {'Love': 13, 'Like': 294, 'Wow': 39, 'Haha': 89, 'Sad': 32, 'Angry': 480}, 'feature_emotion': [u'0.06501', u'0.490767', u'0.134225', u'0.492285', u'0.443161']}
{'emoticons': {'Love': 706, 'Like': 6754, 'Wow': 75, 'Haha': 222, 'Sad': 25, 'Angry': 12}, 'feature_emotion': [u'0.394683', u'0.155074', u'0.49895', u'0.475964', u'0.518277']}
{'emoticons': {'Love': 4, 'Like': 88, 'Wow': 0, 'Haha': 0, 'Sad': 0, 'Angry': 1}, 'feature_emotion': [u'0.129798', u'0.17694', u'0.438026', u'0.504803', u'0.188447']}
